confidence,context,coordinates,extraction_method,field_label,field_name,field_type,page_number,required,table_info,validation_rules,value
0.7,"Table 2, Row 36",,docx_table, 5. THIS COURT FINDS that (name of payor) THIS COURT FINDS that (name of payor) THIS COURT FINDS tha,5_this_court_finds_that_name_of_payor_this_court_f,currency,0,False,"{'table_index': 1, 'row_index': 35}",,
0.7,"Table 2, Row 38",,docx_table,                                                        the sum of $  the sum of $  the sum of $  th,the_sum_of_the_sum_of_the_sum_of_the_sum_of_the_su,currency,0,False,"{'table_index': 1, 'row_index': 37}",,
0.7,"Table 3, Row 5",,docx_table,THIS COURT FINDS that (name of recipient) THIS COURT FINDS that (name of recipient) THIS COURT FINDS,this_court_finds_that_name_of_recipient_this_court,currency,0,False,"{'table_index': 2, 'row_index': 4}",,
0.7,"Table 3, Row 7",,docx_table,                                                                                     the sum of $ th,the_sum_of_the_sum_of_the_sum_of_the_sum_of_the_su,currency,0,False,"{'table_index': 2, 'row_index': 6}",,
0.7,"Table 3, Row 12",,docx_table,                                                                                                    ,field,currency,0,False,"{'table_index': 2, 'row_index': 11}",,
0.7,"Table 3, Row 19",,docx_table,   spousal support in the amount of $ spousal support in the amount of $ spousal support in the amou,spousal_support_in_the_amount_of_spousal_support_i,currency,0,False,"{'table_index': 2, 'row_index': 18}",,
0.7,"Table 3, Row 23",,docx_table,  8. THIS COURT FINDS that the amount of support owed is $ THIS COURT FINDS that the amount of suppo,8_this_court_finds_that_the_amount_of_support_owed,date,0,False,"{'table_index': 2, 'row_index': 22}",,
0.7,"Table 3, Row 26",,docx_table,         at the rate of $ at the rate of $ at the rate of $ at the rate of $ at the rate of $ at the,at_the_rate_of_at_the_rate_of_at_the_rate_of_at_th,date,0,False,"{'table_index': 2, 'row_index': 25}",,
0.7,"Table 4, Row 6",,docx_table,   serve and file the following before the next court date: serve and file the following before the ,serve_and_file_the_following_before_the_next_court,date,0,False,"{'table_index': 3, 'row_index': 5}",,
0.7,"Table 4, Row 15",,docx_table,   to (name) to (name) to (name)                                                             fixed a,to_name_to_name_to_name_fixed_at_fixed_at_fixed_at,currency,0,False,"{'table_index': 3, 'row_index': 14}",,
