confidence,context,coordinates,extraction_method,field_label,field_name,field_type,page_number,required,table_info,validation_rules,value
0.7,"Table 1, Row 8",,docx_table,Full legal name: Full legal name: Full legal name: Full legal name: Full legal name: Full legal name,full_legal_name_full_legal_name_full_legal_name_fu,text,0,False,"{'table_index': 0, 'row_index': 7}",,
0.7,"Table 1, Row 9",,docx_table,Address: Address: Address: Address: Address: Address:                                Address:       ,address_address_address_address_address_address_ad,text,0,False,"{'table_index': 0, 'row_index': 8}",,
0.7,"Table 1, Row 11",,docx_table,Email: Email: Email: Email: Email: Email:                                Email:                  ,email_email_email_email_email_email_email,email,0,False,"{'table_index': 0, 'row_index': 10}",,
0.7,"Table 2, Row 9",,docx_table,"4. Last year, my gross income from all sources was $ Last year, my gross income from all sources was",4_last_year_my_gross_income_from_all_sources_was_l,currency,0,False,"{'table_index': 1, 'row_index': 8}",,
0.7,"Table 2, Row 22",,docx_table,1. 1. Employment income (before deductions) Employment income (before deductions) Employment income ,1_1_employment_income_before_deductions_employment,currency,0,False,"{'table_index': 1, 'row_index': 21}",,
0.7,"Table 2, Row 23",,docx_table,"2. 2. Commissions, tips and bonuses Commissions, tips and bonuses Commissions, tips and bonuses Comm",2_2_commissions_tips_and_bonuses_commissions_tips_,currency,0,False,"{'table_index': 1, 'row_index': 22}",,
0.7,"Table 2, Row 24",,docx_table,3. 3. Self-employment income (Monthly amount before expenses: $      ) Self-employment income (Month,3_3_self_employment_income_monthly_amount_before_e,currency,0,False,"{'table_index': 1, 'row_index': 23}",,
0.7,"Table 2, Row 25",,docx_table,4. 4. Employment Insurance benefits Employment Insurance benefits Employment Insurance benefits Empl,4_4_employment_insurance_benefits_employment_insur,currency,0,False,"{'table_index': 1, 'row_index': 24}",,
0.7,"Table 2, Row 26",,docx_table,5. 5. Workers' compensation benefits Workers' compensation benefits Workers' compensation benefits W,5_5_workers_compensation_benefits_workers_compensa,currency,0,False,"{'table_index': 1, 'row_index': 25}",,
0.7,"Table 2, Row 27",,docx_table,6. 6. Social assistance income (including ODSP payments) Social assistance income (including ODSP pa,6_6_social_assistance_income_including_odsp_paymen,currency,0,False,"{'table_index': 1, 'row_index': 26}",,
