field_id,field_name,field_type,field_label,required,field_context,page_number,table_name
widget_1_form1[0].page1[0].body[0].courtDetails[0].courtFileNo[0],form1[0].page1[0].body[0].courtDetails[0].courtFileNo[0],text,Court File Number,False,Page 1,1,
widget_1_form1[0].page1[0].body[0].courtDetails[0].court[0].nameOfCourt[0],form1[0].page1[0].body[0].courtDetails[0].court[0].nameOfCourt[0],select,Name of Court.  Select from the drop down menu.,False,Page 1,1,
widget_1_form1[0].page1[0].body[0].courtDetails[0].court[0].courtOfficeAddress[0],form1[0].page1[0].body[0].courtDetails[0].court[0].courtOfficeAddress[0],text,Court office address,False,Page 1,1,
widget_1_form1[0].page1[0].body[0].courtDetails[0].application[0],form1[0].page1[0].body[0].courtDetails[0].application[0],radio,application,False,Page 1,1,
widget_1_form1[0].page1[0].body[0].applicants[0].appliant[0].textfield[0],form1[0].page1[0].body[0].applicants[0].appliant[0].textfield[0],text,"Applicant. 1. Full legal name & address for service — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,Page 1,1,
widget_1_form1[0].page1[0].body[0].applicants[0].appliant[0].textfield[1],form1[0].page1[0].body[0].applicants[0].appliant[0].textfield[1],text,"Applicant. 2. Full legal name & address for service — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,Page 1,1,
widget_1_form1[0].page1[0].body[0].applicants[0].applicantLawyer[0].textfield[0],form1[0].page1[0].body[0].applicants[0].applicantLawyer[0].textfield[0],text,"Applicant. 1. Lawyer’s name & address — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,Page 1,1,
widget_1_form1[0].page1[0].body[0].applicants[0].applicantLawyer[0].textfield[1],form1[0].page1[0].body[0].applicants[0].applicantLawyer[0].textfield[1],text,"Applicant. 2. Lawyer’s name & address — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,Page 1,1,
widget_1_form1[0].page1[0].body[0].respondents[0].respondant[0].textfield[0],form1[0].page1[0].body[0].respondents[0].respondant[0].textfield[0],text,"Respondent. 1. Full legal name & address for service — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,Page 1,1,
widget_1_form1[0].page1[0].body[0].respondents[0].respondant[0].textfield[1],form1[0].page1[0].body[0].respondents[0].respondant[0].textfield[1],text,"Respondent. 2. Full legal name & address for service — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,Page 1,1,
