field_id,field_name,field_type,field_label,required,field_context,page_number,table_name
table_0_row_19,2_i_want_to_enforce_by_way_of_garnishment_the_sum_,currency,2. I want to enforce by way of garnishment the sum of $ I want to enforce by way of garnishment the ,False,"Table 1, Row 20",0,Table 1
table_0_row_21,i_also_want_the_garnishment_to_collect_ongoing_pay,currency,I also want the garnishment to collect ongoing payments of $ I also want the garnishment to collect ,False,"Table 1, Row 22",0,Table 1
table_1_row_4,garnishee_s_address_garnishee_s_address_garnishee_,text,Garnishee’s address: Garnishee’s address: Garnishee’s address: Garnishee’s address: Garnishee’s addr,False,"Table 2, Row 5",0,Table 2
table_1_row_6,periodic_amounts_periodic_amounts_periodic_amounts,currency,periodic amounts periodic amounts periodic amounts periodic amounts periodic amounts periodic amount,False,"Table 2, Row 7",0,Table 2
table_1_row_9,lump_sum_amount_lump_sum_amount_lump_sum_amount_lu,currency,lump-sum amount lump-sum amount lump-sum amount lump-sum amount lump-sum amount lump-sum amount of $,False,"Table 2, Row 10",0,Table 2
table_1_row_18,garnishee_s_address_garnishee_s_address_garnishee_,text,Garnishee’s address: Garnishee’s address: Garnishee’s address: Garnishee’s address: Garnishee’s addr,False,"Table 2, Row 19",0,Table 2
table_1_row_20,periodic_amounts_periodic_amounts_periodic_amounts,currency,periodic amounts periodic amounts periodic amounts periodic amounts periodic amounts periodic amount,False,"Table 2, Row 21",0,Table 2
table_1_row_23,lump_sum_amount_lump_sum_amount_lump_sum_amount_lu,currency,lump-sum amount lump-sum amount lump-sum amount lump-sum amount lump-sum amount lump-sum amount of $,False,"Table 2, Row 24",0,Table 2
table_1_row_32,garnishee_s_address_garnishee_s_address_garnishee_,text,Garnishee’s address: Garnishee’s address: Garnishee’s address: Garnishee’s address: Garnishee’s addr,False,"Table 2, Row 33",0,Table 2
table_1_row_34,periodic_amounts_periodic_amounts_periodic_amounts,currency,periodic amounts periodic amounts periodic amounts periodic amounts periodic amounts periodic amount,False,"Table 2, Row 35",0,Table 2
table_1_row_37,lump_sum_amount_lump_sum_amount_lump_sum_amount_lu,currency,lump-sum amount lump-sum amount lump-sum amount lump-sum amount lump-sum amount lump-sum amount of $,False,"Table 2, Row 38",0,Table 2
