confidence,context,coordinates,extraction_method,field_label,field_name,field_type,page_number,required,table_info,validation_rules,value
0.7,"Table 1, Row 10",,docx_table,Full legal name: Full legal name:              Full legal name:                              ,full_legal_name_full_legal_name_full_legal_name,text,0,False,"{'table_index': 0, 'row_index': 9}",,
0.7,"Table 1, Row 11",,docx_table,Address: Address:              Address:                              ,address_address_address,text,0,False,"{'table_index': 0, 'row_index': 10}",,
0.7,"Table 1, Row 13",,docx_table,Email: Email:              Email:                              ,email_email_email,email,0,False,"{'table_index': 0, 'row_index': 12}",,
0.7,"Table 2, Row 1",,docx_table,Valuation Date:               Statement Date: Statement Date: Statement Date: Statement Date:       ,valuation_date_statement_date_statement_date_state,date,0,False,"{'table_index': 1, 'row_index': 0}",,
0.7,"Table 2, Row 8",,docx_table,Matrimonial Home Matrimonial Home                               $      $      $      $      $     ,matrimonial_home_matrimonial_home,currency,0,False,"{'table_index': 1, 'row_index': 7}",,
0.7,"Table 2, Row 9",,docx_table,                                          $      $      $      $      $     ,field,currency,0,False,"{'table_index': 1, 'row_index': 8}",,
0.7,"Table 2, Row 11",,docx_table,(A) TOTALS: Value of Land (A) TOTALS: Value of Land (A) TOTALS: Value of Land (A) TOTALS: Value of L,a_totals_value_of_land_a_totals_value_of_land_a_to,currency,0,False,"{'table_index': 1, 'row_index': 10}",,
0.7,"Table 3, Row 5",,docx_table,Household goods & furniture                   $      $      $      $     ,household_goods_furniture,currency,0,False,"{'table_index': 2, 'row_index': 4}",,
0.7,"Table 3, Row 6",,docx_table,"Cars, boats, vehicles                    $      $      $      $     ",cars_boats_vehicles,currency,0,False,"{'table_index': 2, 'row_index': 5}",,
0.7,"Table 3, Row 7",,docx_table,"Jewellery, art, electronics, tools, sports & hobby, equipment                    $      $      $    ",jewellery_art_electronics_tools_sports_hobby_equip,currency,0,False,"{'table_index': 2, 'row_index': 6}",,
0.7,"Table 3, Row 8",,docx_table,Other special items                   $      $      $      $     ,other_special_items,currency,0,False,"{'table_index': 2, 'row_index': 7}",,
0.7,"Table 3, Row 9",,docx_table,                        $      $      $      $     ,field,currency,0,False,"{'table_index': 2, 'row_index': 8}",,
0.7,"Table 3, Row 11",,docx_table,(B) TOTALS: Value of General Household Items and Vehicles (B) TOTALS: Value of General Household Ite,b_totals_value_of_general_household_items_and_vehi,currency,0,False,"{'table_index': 2, 'row_index': 10}",,
0.7,"Table 4, Row 5",,docx_table,                              $      $      $      $     ,field,currency,0,False,"{'table_index': 3, 'row_index': 4}",,
0.7,"Table 4, Row 8",,docx_table,(C) TOTALS: Value of Accounts and Savings (C) TOTALS: Value of Accounts and Savings (C) TOTALS: Valu,c_totals_value_of_accounts_and_savings_c_totals_va,currency,0,False,"{'table_index': 3, 'row_index': 7}",,
0.7,"Table 5, Row 2",,docx_table,"COMPANY TYPE & POLICY NO. OWNER BENEFICIARY FACE
AMOUNT ($) COMMENTS Document Number Applicant’s Pos",company_type_policy_no_owner_beneficiary_face_amou,currency,0,False,"{'table_index': 4, 'row_index': 1}",,
0.7,"Table 5, Row 5",,docx_table,                  $                  $      $      $      $     ,field,currency,0,False,"{'table_index': 4, 'row_index': 4}",,
0.7,"Table 5, Row 8",,docx_table,(D) TOTALS: Cash Surrender Value of Insurance Policies (D) TOTALS: Cash Surrender Value of Insurance,d_totals_cash_surrender_value_of_insurance_policie,currency,0,False,"{'table_index': 4, 'row_index': 7}",,
0.7,"Table 6, Row 5",,docx_table,"     
                   $      $      $      $     ",field,currency,0,False,"{'table_index': 5, 'row_index': 4}",,
0.7,"Table 6, Row 8",,docx_table,(E) TOTALS: Value of Business Interests (E) TOTALS: Value of Business Interests (E) TOTALS: Value of,e_totals_value_of_business_interests_e_totals_valu,currency,0,False,"{'table_index': 5, 'row_index': 7}",,
0.7,"Table 7, Row 5",,docx_table,                  $      $      $      $     ,field,currency,0,False,"{'table_index': 6, 'row_index': 4}",,
0.7,"Table 7, Row 8",,docx_table,(F) TOTALS: Money Owed to You (F) TOTALS: Money Owed to You (F) TOTALS: Money Owed to You $      $  ,f_totals_money_owed_to_you_f_totals_money_owed_to_,currency,0,False,"{'table_index': 6, 'row_index': 7}",,
0.7,"Table 8, Row 5",,docx_table,                        $      $      $      $     ,field,currency,0,False,"{'table_index': 7, 'row_index': 4}",,
